ID,GZBBGA,strike,dip_dir,dip_angle,dot_strike_tick,angle_deg,label_along_strike_m,label_perp_strike_m
356,202001,125.0,215,46,1.1102230246251565e-16,90.0,270.0,0.0
372,202001,70.0,340,70,2.220446049250313e-16,89.99999999999999,270.0,9.947598300641403e-14
380,202001,1.0,271,65,-3.8163916471489756e-16,89.99999999999999,270.0,-1.1191048088221578e-13
387,202005,43.0,313,69,1.6653345369377348e-16,90.0,270.0,5.684341886080802e-14
387,202005,53.0,323,44,1.1102230246251565e-16,90.0,270.0,0.0
398,202001,84.0,354,23,4.163336342344337e-17,90.0,269.99999999999994,3.552713678800501e-15
402,202001,82.0,172,58,-1.3877787807814457e-16,90.0,270.0,-4.263256414560601e-14
408,202001,65.0,155,43,5.551115123125783e-17,90.0,270.0,0.0
412,202001,121.0,211,30,1.1102230246251565e-16,90.0,270.0,0.0
414,202001,125.0,215,64,1.1102230246251565e-16,90.0,270.0,4.263256414560601e-14
416,202001,70.0,340,70,2.220446049250313e-16,89.99999999999999,270.0,9.947598300641403e-14
419,202001,28.0,298,25,-3.885780586188048e-16,89.99999999999999,270.00000000000006,-9.947598300641403e-14
427,202001,28.0,298,67,-3.885780586188048e-16,89.99999999999999,270.0,-1.1368683772161603e-13
428,202001,35.0,305,59,0.0,90.0,270.0,0.0
429,202001,10.0,280,40,-3.608224830031759e-16,89.99999999999999,269.99999999999994,-1.1368683772161603e-13
434,202001,42.0,132,30,0.0,90.0,270.0,0.0
435,202001,31.0,121,58,-1.1102230246251565e-16,90.0,270.0,-2.842170943040401e-14
438,202001,60.0,330,46,-3.885780586188048e-16,89.99999999999999,269.99999999999994,-1.1368683772161603e-13
415,202001,46.0,316,56,-3.885780586188048e-16,89.99999999999999,270.0,-8.526512829121202e-14
481,202001,116.0,206,50,5.551115123125783e-17,90.0,270.0,2.842170943040401e-14
505,202001,46.0,316,58,-3.885780586188048e-16,89.99999999999999,269.99999999999994,-1.4210854715202004e-13
515,202001,52.0,322,48,1.1102230246251565e-16,90.0,270.0,2.842170943040401e-14
519,202005,27.0,297,36,-1.1102230246251565e-16,90.0,270.0,-1.4210854715202004e-14
556,202001,48.0,318,38,1.1102230246251565e-16,90.0,270.0,2.842170943040401e-14
560,202005,33.0,303,43,-4.996003610813204e-16,89.99999999999997,270.0,-1.2789769243681803e-13
561,202001,23.0,113,29,-5.551115123125783e-17,90.0,270.00000000000006,0.0
566,202005,42.0,312,70,-5.551115123125783e-16,89.99999999999997,270.0,-1.7053025658242404e-13
572,202001,56.0,326,58,2.7755575615628914e-16,89.99999999999999,270.0,4.263256414560601e-14
581,202001,34.0,304,70,1.1102230246251565e-16,90.0,269.99999999999994,1.4210854715202004e-14
582,202001,31.0,301,70,0.0,90.0,270.0,0.0
584,202001,36.0,306,57,-2.220446049250313e-16,89.99999999999999,270.0,-8.526512829121202e-14
590,202001,52.0,322,56,1.1102230246251565e-16,90.0,270.0,2.842170943040401e-14
591,202001,50.0,140,40,1.6653345369377348e-16,90.0,270.0,2.842170943040401e-14
602,202001,32.0,122,59,1.6653345369377348e-16,90.0,270.0,2.842170943040401e-14
607,202001,30.0,300,60,2.220446049250313e-16,89.99999999999999,270.0,5.684341886080802e-14
609,202001,26.0,296,54,0.0,90.0,270.0,0.0
620,202001,62.0,152,68,-1.6653345369377348e-16,90.0,270.0,-7.105427357601002e-14
641,202001,42.0,312,53,-5.551115123125783e-16,89.99999999999997,270.0,-1.7053025658242404e-13
642,202001,99.0,9,72,5.551115123125783e-17,90.0,270.00000000000006,4.263256414560601e-14
653,202001,125.0,35,72,-1.6653345369377348e-16,90.0,270.0,-5.684341886080802e-14
659,202001,69.0,339,70,-4.440892098500626e-16,89.99999999999997,270.0,-1.1368683772161603e-13
674,202001,35.0,305,32,0.0,90.0,270.0,-2.842170943040401e-14
688,202001,22.0,292,21,-5.551115123125783e-17,90.0,270.0,-2.842170943040401e-14
689,202001,77.0,167,60,2.7755575615628914e-16,89.99999999999999,270.0,8.526512829121202e-14
693,202001,94.0,4,30,-2.7755575615628914e-17,90.0,269.99999999999994,-2.842170943040401e-14
706,202001,58.0,328,37,-5.551115123125783e-17,90.0,270.0,-4.263256414560601e-14
707,202001,85.0,355,66,-1.8041124150158794e-16,89.99999999999999,270.0,-3.907985046680551e-14
716,202001,69.0,339,78,-4.440892098500626e-16,89.99999999999997,270.0,-1.1368683772161603e-13
718,202001,68.0,338,61,-4.440892098500626e-16,89.99999999999997,270.0,-1.1368683772161603e-13
723,202001,108.0,198,40,5.551115123125783e-17,90.0,270.0,1.4210854715202004e-14
726,202001,117.0,27,60,5.551115123125783e-17,90.0,270.0,0.0
728,202001,82.0,172,40,-1.3877787807814457e-16,90.0,270.0,-4.263256414560601e-14
740,202001,120.0,210,55,-3.3306690738754696e-16,89.99999999999999,270.0,-8.526512829121202e-14
747,202001,77.0,347,84,-4.163336342344337e-16,89.99999999999997,270.0,-1.4921397450962104e-13
752,202001,76.0,166,60,5.551115123125783e-17,90.0,270.0,3.552713678800501e-14
756,202001,48.0,318,66,1.1102230246251565e-16,90.0,270.0,2.842170943040401e-14
774,202001,88.0,178,48,6.245004513516506e-17,90.0,270.0,1.9539925233402755e-14
782,202001,98.0,188,57,-1.6653345369377348e-16,90.0,270.0,-6.394884621840902e-14
787,202001,1.0,271,25,-3.8163916471489756e-16,89.99999999999999,270.0,-1.1191048088221578e-13
412,202001,78.0,348,68,-3.885780586188048e-16,89.99999999999999,269.99999999999994,-1.0658141036401503e-13
302,202001,168.0,78,57,-1.3877787807814457e-16,90.0,270.00000000000006,-6.394884621840902e-14
307,202001,122.0,32,65,1.6653345369377348e-16,90.0,270.0,7.105427357601002e-14
310,202001,112.0,22,65,-5.551115123125783e-17,90.0,270.0,-1.4210854715202004e-14
312,202001,82.0,352,30,-4.163336342344337e-16,89.99999999999997,270.0,-1.0658141036401503e-13
319,202001,94.0,184,40,5.551115123125783e-17,90.0,270.0,3.197442310920451e-14
322,202001,82.0,172,35,-1.3877787807814457e-16,90.0,270.0,-4.263256414560601e-14
324,202001,106.0,196,78,5.551115123125783e-17,90.0,269.99999999999994,0.0
325,202001,117.0,27,53,5.551115123125783e-17,90.0,270.0,0.0
330,202001,90.0,0,14,6.123233995736766e-17,90.0,270.0,0.0
337,202005,66.0,156,64,2.220446049250313e-16,89.99999999999999,269.99999999999994,5.684341886080802e-14
338,202005,112.0,202,64,5.551115123125783e-17,90.0,270.0,0.0
339,202005,85.0,175,59,5.551115123125783e-17,90.0,270.0,3.552713678800501e-15
363,202001,98.0,188,70,-1.6653345369377348e-16,90.0,270.0,-6.394884621840902e-14
364,202001,80.0,350,41,2.7755575615628914e-17,90.0,269.99999999999994,2.1316282072803006e-14
367,202001,135.0,225,33,1.1102230246251565e-16,90.0,270.0,0.0
372,202001,126.0,216,30,5.551115123125783e-17,90.0,270.0,2.842170943040401e-14
379,202001,99.0,189,42,8.326672684688674e-17,90.0,270.00000000000006,-7.105427357601002e-15
388,202001,149.0,59,20,2.7755575615628914e-16,89.99999999999999,270.0,7.105427357601002e-14
392,202001,136.0,46,64,-1.6653345369377348e-16,90.0,270.0,-2.842170943040401e-14
395,202001,118.0,208,46,5.551115123125783e-17,90.0,270.0,2.842170943040401e-14
436,202005,19.0,109,69,5.551115123125783e-17,90.0,270.0,-1.4210854715202004e-14
438,202005,21.0,111,65,0.0,90.0,270.0,-1.4210854715202004e-14
403,202005,9.0,279,65,-1.942890293094024e-16,89.99999999999999,270.0,-4.973799150320701e-14
396,202001,95.0,5,66,-6.938893903907228e-17,90.0,270.0,-3.552713678800501e-15
475,202005,121.0,211,60,1.1102230246251565e-16,90.0,270.0,2.842170943040401e-14
477,202005,42.0,312,32,-5.551115123125783e-16,89.99999999999997,270.0,-1.1368683772161603e-13
479,202005,58.0,148,35,0.0,90.0,270.0,1.4210854715202004e-14
482,202005,153.0,63,34,5.551115123125783e-17,90.0,269.99999999999994,-1.4210854715202004e-14
484,202005,77.0,167,60,2.7755575615628914e-16,89.99999999999999,270.0,8.526512829121202e-14
486,202005,57.0,147,66,2.7755575615628914e-16,89.99999999999999,270.0,7.105427357601002e-14
488,202005,137.0,227,40,0.0,90.0,270.0,0.0
498,202001,73.0,163,71,-1.6653345369377348e-16,90.0,269.99999999999994,-5.684341886080802e-14
521,202001,102.0,192,66,-1.6653345369377348e-16,90.0,270.00000000000006,-7.815970093361102e-14
522,202001,107.0,197,52,-1.1102230246251565e-16,90.0,270.0,-2.842170943040401e-14
