ID,FEATUREID,CHFCAC,GZBBGA,GZBBAB,GZBBAC,GZBBAD,strike_dip_diff
356,OFBA016C1AJ430010020000001,000001,202001,125.0,215,46,90.0
372,OFBA016C1AJ430010020000002,000002,202001,70.0,340,70,90.0
380,OFBA016C1AJ430010020000003,000003,202001,1.0,271,65,90.0
387,OFBA016C1AJ430010020000004,000004,202005,43.0,313,69,90.0
387,OFBA016C1AJ430010020000005,000005,202005,53.0,323,44,90.0
398,OFBA016C1AJ430010020000006,000006,202001,84.0,354,23,90.0
402,OFBA016C1AJ430010020000007,000007,202001,82.0,172,58,90.0
408,OFBA016C1AJ430010020000008,000008,202001,65.0,155,43,90.0
412,OFBA016C1AJ430010020000009,000009,202001,121.0,211,30,90.0
414,OFBA016C1AJ430010020000010,000010,202001,125.0,215,64,90.0
416,OFBA016C1AJ430010020000011,000011,202001,70.0,340,70,90.0
419,OFBA016C1AJ430010020000012,000012,202001,28.0,298,25,90.0
427,OFBA016C1AJ430010020000013,000013,202001,28.0,298,67,90.0
428,OFBA016C1AJ430010020000014,000014,202001,35.0,305,59,90.0
429,OFBA016C1AJ430010020000015,000015,202001,10.0,280,40,90.0
434,OFBA016C1AJ430010020000016,000016,202001,42.0,132,30,90.0
435,OFBA016C1AJ430010020000017,000017,202001,31.0,121,58,90.0
438,OFBA016C1AJ430010020000018,000018,202001,60.0,330,46,90.0
415,OFBA016C1AJ430010020000019,000019,202001,46.0,316,56,90.0
481,OFBA016C1AJ430010020000020,000020,202001,116.0,206,50,90.0
505,OFBA016C1AJ430010020000021,000021,202001,46.0,316,58,90.0
515,OFBA016C1AJ430010020000022,000022,202001,52.0,322,48,90.0
519,OFBA016C1AJ430010020000023,000023,202005,27.0,297,36,90.0
556,OFBA016C1AJ430010020000024,000024,202001,48.0,318,38,90.0
560,OFBA016C1AJ430010020000025,000025,202005,33.0,303,43,90.0
561,OFBA016C1AJ430010020000026,000026,202001,23.0,113,29,90.0
566,OFBA016C1AJ430010020000027,000027,202005,42.0,312,70,90.0
572,OFBA016C1AJ430010020000028,000028,202001,56.0,326,58,90.0
581,OFBA016C1AJ430010020000029,000029,202001,34.0,304,70,90.0
582,OFBA016C1AJ430010020000030,000030,202001,31.0,301,70,90.0
584,OFBA016C1AJ430010020000031,000031,202001,36.0,306,57,90.0
590,OFBA016C1AJ430010020000032,000032,202001,52.0,322,56,90.0
591,OFBA016C1AJ430010020000033,000033,202001,50.0,140,40,90.0
602,OFBA016C1AJ430010020000034,000034,202001,32.0,122,59,90.0
607,OFBA016C1AJ430010020000035,000035,202001,30.0,300,60,90.0
609,OFBA016C1AJ430010020000036,000036,202001,26.0,296,54,90.0
620,OFBA016C1AJ430010020000037,000037,202001,62.0,152,68,90.0
641,OFBA016C1AJ430010020000038,000038,202001,42.0,312,53,90.0
642,OFBA016C1AJ430010020000039,000039,202001,99.0,9,72,90.0
653,OFBA016C1AJ430010020000040,000040,202001,125.0,35,72,90.0
659,OFBA016C1AJ430010020000041,000041,202001,69.0,339,70,90.0
674,OFBA016C1AJ430010020000042,000042,202001,35.0,305,32,90.0
688,OFBA016C1AJ430010020000043,000043,202001,22.0,292,21,90.0
689,OFBA016C1AJ430010020000044,000044,202001,77.0,167,60,90.0
693,OFBA016C1AJ430010020000045,000045,202001,94.0,4,30,90.0
706,OFBA016C1AJ430010020000046,000046,202001,58.0,328,37,90.0
707,OFBA016C1AJ430010020000047,000047,202001,85.0,355,66,90.0
716,OFBA016C1AJ430010020000048,000048,202001,69.0,339,78,90.0
718,OFBA016C1AJ430010020000049,000049,202001,68.0,338,61,90.0
723,OFBA016C1AJ430010020000050,000050,202001,108.0,198,40,90.0
726,OFBA016C1AJ430010020000051,000051,202001,117.0,27,60,90.0
728,OFBA016C1AJ430010020000052,000052,202001,82.0,172,40,90.0
740,OFBA016C1AJ430010020000053,000053,202001,120.0,210,55,90.0
747,OFBA016C1AJ430010020000054,000054,202001,77.0,347,84,90.0
752,OFBA016C1AJ430010020000055,000055,202001,76.0,166,60,90.0
756,OFBA016C1AJ430010020000056,000056,202001,48.0,318,66,90.0
774,OFBA016C1AJ430010020000057,000057,202001,88.0,178,48,90.0
782,OFBA016C1AJ430010020000058,000058,202001,98.0,188,57,90.0
787,OFBA016C1AJ430010020000059,000059,202001,1.0,271,25,90.0
412,OFBA016C1AJ430010020000060,000060,202001,78.0,348,68,90.0
302,OFBA016C1AJ430010020000061,000061,202001,168.0,78,57,90.0
307,OFBA016C1AJ430010020000062,000062,202001,122.0,32,65,90.0
310,OFBA016C1AJ430010020000063,000063,202001,112.0,22,65,90.0
312,OFBA016C1AJ430010020000064,000064,202001,82.0,352,30,90.0
319,OFBA016C1AJ430010020000065,000065,202001,94.0,184,40,90.0
322,OFBA016C1AJ430010020000066,000066,202001,82.0,172,35,90.0
324,OFBA016C1AJ430010020000067,000067,202001,106.0,196,78,90.0
325,OFBA016C1AJ430010020000068,000068,202001,117.0,27,53,90.0
330,OFBA016C1AJ430010020000069,000069,202001,90.0,0,14,90.0
337,OFBA016C1AJ430010020000070,000070,202005,66.0,156,64,90.0
338,OFBA016C1AJ430010020000071,000071,202005,112.0,202,64,90.0
339,OFBA016C1AJ430010020000072,000072,202005,85.0,175,59,90.0
363,OFBA016C1AJ430010020000073,000073,202001,98.0,188,70,90.0
364,OFBA016C1AJ430010020000074,000074,202001,80.0,350,41,90.0
367,OFBA016C1AJ430010020000075,000075,202001,135.0,225,33,90.0
372,OFBA016C1AJ430010020000076,000076,202001,126.0,216,30,90.0
379,OFBA016C1AJ430010020000077,000077,202001,99.0,189,42,90.0
388,OFBA016C1AJ430010020000078,000078,202001,149.0,59,20,90.0
392,OFBA016C1AJ430010020000079,000079,202001,136.0,46,64,90.0
395,OFBA016C1AJ430010020000080,000080,202001,118.0,208,46,90.0
436,OFBA016C1AJ430010020000081,000081,202005,19.0,109,69,90.0
438,OFBA016C1AJ430010020000082,000082,202005,21.0,111,65,90.0
403,OFBA016C1AJ430010020000083,000083,202005,9.0,279,65,90.0
396,OFBA016C1AJ430010020000084,000084,202001,95.0,5,66,90.0
475,OFBA016C1AJ430010020000085,000085,202005,121.0,211,60,90.0
477,OFBA016C1AJ430010020000086,000086,202005,42.0,312,32,90.0
479,OFBA016C1AJ430010020000087,000087,202005,58.0,148,35,90.0
482,OFBA016C1AJ430010020000088,000088,202005,153.0,63,34,90.0
484,OFBA016C1AJ430010020000089,000089,202005,77.0,167,60,90.0
486,OFBA016C1AJ430010020000090,000090,202005,57.0,147,66,90.0
488,OFBA016C1AJ430010020000091,000091,202005,137.0,227,40,90.0
498,OFBA016C1AJ430010020000092,000092,202001,73.0,163,71,90.0
521,OFBA016C1AJ430010020000093,000093,202001,102.0,192,66,90.0
522,OFBA016C1AJ430010020000094,000094,202001,107.0,197,52,90.0
528,OFBA016C1AJ430010020000095,000095,202001,99.0,189,56,90.0
530,OFBA016C1AJ430010020000096,000096,202001,141.0,51,37,90.0
531,OFBA016C1AJ430010020000097,000097,202001,120.0,210,50,90.0
532,OFBA016C1AJ430010020000098,000098,202001,136.0,226,58,90.0
545,OFBA016C1AJ430010020000099,000099,202001,55.0,145,48,90.0
552,OFBA016C1AJ430010020000100,000100,202001,112.0,22,42,90.0
564,OFBA016C1AJ430010020000101,000101,202001,103.0,13,40,90.0
566,OFBA016C1AJ430010020000102,000102,202001,141.0,231,25,90.0
568,OFBA016C1AJ430010020000103,000103,202001,162.0,72,43,90.0
570,OFBA016C1AJ430010020000104,000104,202001,156.0,66,20,90.0
572,OFBA016C1AJ430010020000105,000105,202001,134.0,44,64,90.0
574,OFBA016C1AJ430010020000106,000106,202005,38.0,128,65,90.0
575,OFBA016C1AJ430010020000107,000107,202005,22.0,292,73,90.0
578,OFBA016C1AJ430010020000108,000108,202005,34.0,124,71,90.0
599,OFBA016C1AJ430010020000109,000109,202001,109.0,19,65,90.0
600,OFBA016C1AJ430010020000110,000110,202001,103.0,13,25,90.0
603,OFBA016C1AJ430010020000111,000111,202001,120.0,30,45,90.0
604,OFBA016C1AJ430010020000112,000112,202001,128.0,38,35,90.0
606,OFBA016C1AJ430010020000113,000113,202001,125.0,215,46,90.0
608,OFBA016C1AJ430010020000114,000114,202001,106.0,16,50,90.0
610,OFBA016C1AJ430010020000115,000115,202001,128.0,218,30,90.0
615,OFBA016C1AJ430010020000116,000116,202001,139.0,229,40,90.0
617,OFBA016C1AJ430010020000117,000117,202001,95.0,185,18,90.0
619,OFBA016C1AJ430010020000118,000118,202001,51.0,321,20,90.0
622,OFBA016C1AJ430010020000119,000119,202001,86.0,356,40,90.0
624,OFBA016C1AJ430010020000120,000120,202001,89.0,359,30,90.0
625,OFBA016C1AJ430010020000121,000121,202001,130.0,40,50,90.0
631,OFBA016C1AJ430010020000122,000122,202001,118.0,208,49,90.0
632,OFBA016C1AJ430010020000123,000123,202005,88.0,178,54,90.0
639,OFBA016C1AJ430010020000124,000124,202005,167.0,77,68,90.0
653,OFBA016C1AJ430010020000125,000125,202005,155.0,245,67,90.0
663,OFBA016C1AJ430010020000126,000126,202005,133.0,223,53,90.0
670,OFBA016C1AJ430010020000127,000127,202005,133.0,223,57,90.0
681,OFBA016C1AJ430010020000128,000128,202005,112.0,22,80,90.0
687,OFBA016C1AJ430010020000129,000129,202001,111.0,21,35,90.0
720,OFBA016C1AJ430010020000130,000130,202001,94.0,4,31,90.0
723,OFBA016C1AJ430010020000131,000131,202001,105.0,195,22,90.0
84,OFBA016C1AJ430010020000132,000132,202005,74.0,164,80,90.0
88,OFBA016C1AJ430010020000133,000133,202005,94.0,184,62,90.0
92,OFBA016C1AJ430010020000134,000134,202001,94.0,184,63,90.0
94,OFBA016C1AJ430010020000135,000135,202005,129.0,39,60,90.0
99,OFBA016C1AJ430010020000136,000136,202005,74.0,344,50,90.0
103,OFBA016C1AJ430010020000137,000137,202005,101.0,11,48,90.0
131,OFBA016C1AJ430010020000138,000138,202005,68.0,338,56,90.0
134,OFBA016C1AJ430010020000139,000139,202005,113.0,203,63,90.0
152,OFBA016C1AJ430010020000140,000140,202005,87.0,357,58,90.0
198,OFBA016C1AJ430010020000141,000141,202001,82.0,172,46,90.0
