section,code,R,G,B,HEX,note
表2 正式地层单位用色,Qh,255,255,191,#ffffbf,
表2 正式地层单位用色,Qp,247,247,136,#f7f788,
表2 正式地层单位用色,QpQh,250,250,162,#fafaa2,
表2 正式地层单位用色,N1,255,237,115,#ffed73,
表2 正式地层单位用色,N2,255,242,179,#fff2b3,
表2 正式地层单位用色,E1,255,179,102,#ffb366,
表2 正式地层单位用色,E2,255,207,140,#ffcf8c,
表2 正式地层单位用色,E3,255,222,166,#ffdea6,
表2 正式地层单位用色,K1,140,255,51,#8cff33,
表2 正式地层单位用色,K2,204,255,115,#ccff73,
表2 正式地层单位用色,J1,77,242,255,#4df2ff,
表2 正式地层单位用色,J2,140,255,242,#8cfff2,
表2 正式地层单位用色,J3,204,255,255,#ccffff,
表2 正式地层单位用色,T1,230,153,255,#e699ff,
表2 正式地层单位用色,T2,240,179,255,#f0b3ff,
表2 正式地层单位用色,T3,255,222,255,#ffdeff,
表2 正式地层单位用色,P1,240,192,24,#f0c018,
表2 正式地层单位用色,P2,242,206,48,#f2ce30,
表2 正式地层单位用色,P3,247,230,87,#f7e657,
表2 正式地层单位用色,C1,135,153,153,#879999,
表2 正式地层单位用色,C2,176,191,191,#b0bfbf,
表2 正式地层单位用色,D1,166,115,115,#a67373,
表2 正式地层单位用色,D2,191,153,153,#bf9999,
表2 正式地层单位用色,D3,222,179,191,#deb3bf,
表2 正式地层单位用色,S1,184,191,13,#b8bf0d,
表2 正式地层单位用色,S2,189,204,38,#bdcc26,
表2 正式地层单位用色,S3,199,217,77,#c7d94d,
表2 正式地层单位用色,S4,216,242,121,#d8f279,
表2 正式地层单位用色,S3-4,206,240,108,#cef06c,
表2 正式地层单位用色,Pt1,184,162,96,#b8a260,
表2 正式地层单位用色,Pt2,217,166,64,#d9a640,
表2 正式地层单位用色,Pt3,255,191,128,#ffbf80,
表2 正式地层单位用色,Ch,188,183,129,#bcb781,
表2 正式地层单位用色,Nh,232,153,179,#e899b3,
表2 正式地层单位用色,Z,255,191,128,#ffbf80,
表2 正式地层单位用色,Qb,209,133,117,#d18575,
表2 正式地层单位用色,Ar3,240,173,240,#f0adf0,
表2 正式地层单位用色,Ar2,230,149,230,#e695e6,
表2 正式地层单位用色,Ar1,217,119,217,#d977d9,
表2 正式地层单位用色,Ar0,217,104,217,#d968d9,
表2 正式地层单位用色,Hd,204,102,102,#cc6666,
