order,name,symbol,category,R,G,B,source_image
1,实测、推测地质界线,实线/虚线曲线,boundary,,,,page34_img2_row000.png
2,角度不整合、平行不整合、岩相界线,实线+虚线/点线,unconformity,,,,page34_img2_row001.png
3,实测正断层、实测逆断层,实线+齿/三角齿,fault,,,,page34_img2_row002.png
4,实测平推断层,实线+半箭头,fault,,,,page34_img2_row003.png
5,实测性质不明断层,实线,fault,,,,page34_img2_row004.png
6,推测性质不明断层,长虚线,fault,,,,page34_img2_row005.png
7,实测冲断层,实线+三角齿,fault,,,,page34_img2_row006.png
8,韧性剪切带,红色平行双线,shear_zone,,,,page34_img2_row007.png
9,实测活动断层,实线+双箭头,fault,,,,page34_img2_row008.png
10,推测活动断层,长虚线+双箭头,fault,,,,page35_img1_row000.png
11,隐伏或物探推测断层,长虚线+点,fault,,,,page35_img1_row001.png
12,航卫片解译断层,点划线,fault,,,,page35_img1_row002.png
13,层理、片理、片麻理产状,产状符号,attitude,,,,page35_img1_row003.png
14,劈理、裂隙、面理产状,产状符号,attitude,,,,page35_img1_row004.png
15,脆韧性剪切带,红色平行双线,shear_zone,,,,page35_img1_row005.png
