code,R,G,B,HEX,stage_ocr,label_ocr
Qh,255,252,215,#fffcd7,Qh,
Qh2-3,255,253,205,#fffdcd,Qh? 2-3,
Qh,255,250,186,#fffaba,Qh,Qh
Qh1-2,255,249,175,#fff9af,Qhl-2,
Qh,255,249,165,#fff9a5,Qh',
Qp3,248,241,173,#f8f1ad,Qp3,
Qp2-3,248,239,162,#f8efa2,Qp? 2-3,
Qp,248,238,153,#f8ee99,Qp?,Y55 Qp R255
Qp11-2,248,235,141,#f8eb8d,Qpl 1-2,G255 B115
Qp1,244,232,130,#f4e882,Qp!,
E2,253,211,153,#fdd399,,E2
K2,209,223,128,#d1df80,,K2
K,158,162,137,#9ea289,,Ki-2
C45,173,206,93,#adce5d,,C45
J2,147,205,225,#93cde1,,J2
C151-2,205,190,199,#cdbec7,,C15 1-2
P2-3,217,213,201,#d9d5c9,,P2-3
P2,227,179,103,#e3b367,P2,B153 Pi
P1,224,173,92,#e0ad5c,P!,
C3,188,199,205,#bcc7cd,C3,R166 G166 B149
C,180,191,197,#b4bfc5,C?,
D1,232,192,156,#e8c09c,D!,
D2-3,187,177,168,#bbb1a8,,D2-3
D,193,148,119,#c19477,D?,B153
P,206,206,132,#cece84,,PZ1
Pt3,253,211,153,#fdd399,,Pt3
Pt,227,182,176,#e3b6b0,,Pts Nh Nh2-3 (PP)
J,219,185,111,#dbb96f,,Jx M35 蓟县系
Ch,194,180,141,#c2b48d,,Ch R255 G166 长城系 B77
C25,204,178,143,#ccb28f,,C25
Ar3,242,208,222,#f2d0de,,Ar3亲 新太古界
Ar,225,171,194,#e1abc2,,Ar 太古界
Hd1,208,145,136,#d09188,,Hd 1冥古宇
