page,row,stage_ocr,label_ocr,R,G,B,Alt1_R,Alt1_G,Alt1_B
14,1,Qh,,255,252,215,255,253,228
14,2,Qh? 2-3,,255,253,205,255,249,173
14,3,Qh,Qh,255,250,186,255,247,149
14,4,Qhl-2,,255,249,175,255,246,141
14,5,Qh',,255,249,165,255,246,137
14,6,,QpQh,198,196,197,249,242,187
14,7,Qp3,,248,241,173,248,241,178
14,8,Qp? 2-3,,248,239,162,248,239,163
14,9,Qp?,Y55 Qp R255,248,238,153,248,236,146
14,10,Qpl 1-2,G255 B115,248,235,141,248,236,138
14,11,Qp!,,244,232,130,248,237,132
14,12,,,255,236,191,255,240,209
14,13,,,255,232,170,255,240,201
14,14,,Y100 Ni-2 R255 G255,205,205,205,255,236,191
14,15,,BO M15 Y55,255,231,159,255,234,181
14,16,,R255 G217,255,225,152,254,228,169
14,17,,,255,220,139,255,228,161
15,0,,,236,236,236,255,255,255
15,1,,,255,215,130,255,220,152
15,2,,,254,208,122,255,220,152
15,3,,,255,230,190,255,241,215
15,4,,,254,220,175,255,238,208
15,5,,2-3 Cz,236,236,236,255,227,195
15,6,,,254,221,170,255,221,183
15,7,,,255,216,164,255,219,174
15,8,,E2,253,211,153,254,213,161
15,9,,M23,253,205,141,254,209,152
15,10,,Y100 R255 R255 G196 G255,253,200,134,254,199,142
15,11,,BO 1-2,242,241,236,252,192,132
15,12,,,252,193,133,252,192,132
15,13,,,250,189,122,157,157,157
15,14,,,222,230,147,210,224,139
15,15,,K2,209,223,128,195,218,134
15,16,,,200,217,113,176,206,111
15,17,,Ki-2,158,162,137,162,201,93
15,18,,C45,173,206,93,150,193,87
15,19,,Y100 R140,161,197,71,142,189,71
15,20,,BO G100,151,193,57,140,187,57
15,21,,RO G207,236,236,236,230,243,251
15,22,,保罗系 2-3,196,196,196,219,237,247
16,0,,,205,205,205,255,255,255
16,1,,,171,217,232,195,228,245
16,2,,J2,147,205,225,193,227,242
16,3,,C80 M5 1-2,143,153,163,158,212,238
16,4,,R51 G242 55,137,193,226,128,200,231
16,5,,,113,182,223,89,188,227
16,6,,,255,234,241,255,238,244
16,7,,,254,218,232,254,220,232
16,8,,C100 M19 2-3,199,199,199,253,212,227
16,9,,RO G207 B255,244,195,217,252,204,221
16,10,,,238,185,213,250,192,213
16,11,,C15 1-2,205,190,199,248,181,205
16,12,,R217 G128 B255,226,165,198,247,174,201
16,13,,,222,146,185,247,171,201
16,14,,,245,225,164,247,228,169
16,15,,,243,220,152,244,223,160
16,16,,P2-3,217,213,201,244,217,148
16,17,,,240,206,132,241,211,138
16,18,,,240,202,131,239,206,129
16,19,,,232,194,121,237,200,119
16,20,,M20 C50 Y100 M10 K6 Y40,231,191,119,237,197,112
16,21,,R240 R128 G192 1-2 G230 BO,206,207,208,236,191,100
16,22,P2,B153 Pi,227,179,103,235,186,91
17,0,,,219,219,219,255,255,255
17,1,P!,,224,173,92,169,169,169
17,2,C4,,216,220,223,208,208,208
17,3,,,212,217,220,248,245,238
17,4,,,204,209,212,241,238,231
17,5,,炭系,198,203,206,229,225,213
17,6,,K35 1-2,193,195,194,210,208,195
17,7,C3,R166 G166 B149,188,199,205,202,200,187
17,8,C?,,180,191,197,189,189,177
17,9,,,170,181,187,186,186,180
17,10,,,238,211,190,247,247,249
17,11,,,238,206,181,238,228,219
17,12,,,232,199,166,233,216,208
17,13,D!,,232,192,156,222,204,194
17,14,,D2-3,187,177,168,216,194,183
17,15,,,219,178,150,206,180,167
17,16,,,216,172,145,200,174,159
17,17,,C35 C50 M55 M10 1-2 Y55,155,142,134,195,166,152
17,18,,R166 R128 G5,204,159,130,190,158,143
17,19,D?,B153,193,148,119,183,150,135
17,20,,,182,138,109,180,142,129
17,21,,,172,127,98,226,226,221
17,22,,PZ S4,200,199,199,255,255,255
18,0,,,236,236,236,255,255,255
18,1,,3-4,172,172,172,234,236,174
18,2,,2-4,236,236,236,237,236,179
18,3,,,216,221,163,230,230,168
18,4,,,206,215,150,230,230,160
18,5,,S2-3,236,236,236,221,222,146
18,6,,S1-3,190,190,190,219,222,141
18,7,,PZ1,206,206,132,208,212,127
18,8,,C30 M15,205,204,124,206,211,121
18,9,,Y100 S1-2 R179,152,150,127,202,208,112
18,10,,G217 BO,200,193,115,197,203,103
18,11,,,193,186,105,193,201,92
18,12,,,183,181,94,188,197,80
18,13,,,177,173,84,155,155,129
18,14,,,184,177,158,255,255,255
18,15,,,191,219,197,219,235,222
18,16,,,182,212,188,207,231,209
18,17,,,169,208,181,186,220,196
18,18,,0213,190,202,192,173,213,187
18,19,,C50 M15 Y40,149,203,177,158,207,178
18,20,,R128 C70,135,195,167,148,202,168
18,21,,Y55 B153 01-2 R77 G255 B115,142,147,141,124,191,160
18,22,,,121,183,136,96,181,148
19,0,,,224,224,224,255,255,255
19,1,,,109,177,130,169,169,169
19,2,,,219,229,195,174,174,174
19,3,,,208,223,182,227,230,211
19,4,,,199,215,166,221,226,202
19,5,,3-4,210,210,210,214,221,194
19,6,,24,218,219,218,208,219,186
19,7,,,197,213,164,204,214,179
19,8,,,184,207,161,198,210,171
19,9,,,172,200,151,193,207,160
19,10,,2-3 C65,218,216,220,187,204,154
19,11,,M20 M15 Y50 Y40 1-3,197,197,197,179,197,144
19,12,,R128 G204 G217 B128 B153,166,194,146,176,195,139
19,13,,,157,191,140,171,192,134
19,14,,E12,170,182,170,166,187,125
19,15,,,150,182,133,165,187,122
19,16,,,140,174,124,71,71,71
19,17,,Pt3,253,211,153,254,212,170
19,18,,新元,253,200,134,254,208,163
19,19,,,212,203,205,253,202,151
19,20,,M30 M40 Y50 Y100,251,189,116,252,198,147
19,21,,R255 G153 R255 BO G179,249,179,107,252,196,139
19,22,,B128 Nh Nh3,226,225,225,255,255,255
20,1,,Pts Nh Nh2-3 (PP),227,182,176,226,164,153
20,2,,元古用 南华系 Nh2,224,173,170,215,153,142
20,3,,C12 M50 Nhi-2 M30 Y40,225,168,161,214,140,127
20,4,,Y50 R224 G128 Nhi B153,220,165,135,210,146,119
20,5,,R255 Qb Pt) G179 B128 青白口系,214,154,130,197,130,101
20,6,,Yx (PE) PL2 玉溪系,212,170,112,203,149,77
20,7,,中元 Xs (PE) 西山系,234,200,155,220,181,138
20,8,,Jx M35 蓟县系,219,185,111,210,177,100
20,9,,Ch R255 G166 长城系 B77,194,180,141,182,165,122
20,11,,,212,188,152,184,155,121
20,12,,C25,204,178,143,179,149,111
20,13,,M35 Y65 K17 R159,195,166,132,174,145,103
20,14,,G138 B74,158,151,145,155,148,142
20,15,,,218,218,218,217,217,217
20,16,,Ar3亲 新太古界,242,208,222,238,200,215
20,17,,A12 中太古界,232,191,207,231,182,201
20,18,,Ar 太古界,225,171,194,211,162,183
20,20,,Hd 1冥古宇,208,145,136,192,125,116
