ID,长度,FEATUREID,CHFCAC,GZEAB,KCDDEF,GZEEB,GZECD,GZECE,GZEHG,GZAG,GZEEE,GZELD,GZEEC,GZEKG,GZEHH,PKIGJ,geometry,length_m,length_km,azimuth_deg,strike_deg,source_file,type_code,GZEEI,GZEEJ,GZEGD,MDLMA,GZEDRA,GZEEBM,GZEAD,YGGBDG,MDLZZ,GZEAH,GCJFBS,GZECC,GZEEL,KCDDEE,QDHOBC,GGAAJC,GGDDKY,KCDDEN,MDLZD
1,0.11157648311313369,OFBA003C1AJ430010020000001,000001,,11.424102783203125,01,,72.0,"D1s,D2t,ψ1D",101,101,109,106,,,1∶250000 库尔干幅(J43C001002)建造构造图,"LINESTRING (73.91139419127398 39.91144586198179, 73.91445362539827 39.918174853108624, 73.91755230976018 39.92294674915215, 73.91934927048834 39.92514471699639, 73.92041833356498 39.926962213851304, 73.9213655255222 39.92860075995369, 73.92284560259031 39.9310651454382, 73.92378361242828 39.933092247076246, 73.9255736065514 39.9360901590826, 73.92785081385617 39.93928536766334, 73.93014955709158 39.942184034010516, 73.93185776013864 39.94401824741621, 73.93332381075415 39.945370268191134, 73.93484963494778 39.94705672906165, 73.9374107263113 39.94994733242624, 73.94092527289683 39.953524132623, 73.94504223093666 39.95749369072919, 73.94889597580756 39.96146393515909, 73.95161700234188 39.96430880136634, 73.9529499428569 39.965756829387225, 73.95524904468796 39.96855388952413, 73.95984525630007 39.97424103876663, 73.96226372675861 39.97751396670093, 73.96461585730053 39.98102379911841, 73.96761957410827 39.985316720461505, 73.97062343176093 39.98990039930934, 73.97364170556627 39.99373897683158, 73.97827705571461 39.99999158185073, 73.97828146609731 40.00000001099507)",11419.578420406759,11.419578420406758,30.84628417484234,30.84628417484234,LDZOFBA003.WL,01,,,,,,,,,,,,,,,,,,,
2,0.11476695285201373,OFBA003C1AJ430010020000002,000002,,11.77022933959961,01,,69.0,"D1s,D2t",101,101,109,106,,,1∶250000 库尔干幅(J43C001002)建造构造图,"LINESTRING (73.91878546022626 39.9084922628505, 73.92049907094359 39.91200221092397, 73.92258344236818 39.91505792966717, 73.9239614337867 39.91764795315219, 73.92534990909496 39.92014940476404, 73.92604434034534 39.92144616820698, 73.92854731602402 39.925110583827184, 73.930520086834 39.92819033733031, 73.93294737650106 39.93231736360824, 73.93502598281079 39.93597397599455, 73.9360855268081 39.93746950994249, 73.93719622771847 39.939662455250165, 73.93848580313833 39.941810381892104, 73.94001565372685 39.94396022299852, 73.94520451294642 39.94957805289038, 73.94800189131745 39.95286224391653, 73.95073927656524 39.955637776957445, 73.95553365549803 39.960048136759745, 73.96034098761227 39.96519045284257, 73.96269884302478 39.96716149579772, 73.96446077012345 39.969220254672116, 73.96516431200034 39.97015520797201, 73.97028545732103 39.97526206482682, 73.97323868489487 39.9784478581991, 73.9754570106136 39.98153138565646, 73.97791690234632 39.985274985383064, 73.97849925934291 39.98648932311159, 73.98112192004234 39.990804857146266, 73.98256451592854 39.99324461266051, 73.98391875785343 39.995536358397395, 73.98455359889597 39.99667844062705, 73.98668105360616 39.99997859067494, 73.98669391062161 40.00000003182896)",11765.698148778814,11.765698148778814,30.40408610264903,30.40408610264903,LDZOFBA003.WL,01,,,,,,,,,,,,,,,,,,,
4,0.03851592404072095,OFBA003C1AJ430010020000004,000004,,3.8969905376434326,01,,0.0,"D1s,D2t",101,101,109,106,,,1∶250000 库尔干幅(J43C001002)建造构造图,"LINESTRING (74.06124686064362 40.000000003147875, 74.06123798649558 39.999991992636744, 74.05313414019415 39.99236828744051, 74.04202564907509 39.98565059136387, 74.04227775758035 39.98830321489208, 74.04215741050034 39.99691651577284, 74.04260437615432 39.99999189987528, 74.04260940546497 40.000000029454206)",3896.610789587279,3.896610789587279,270.60955079114206,90.60955079114206,LDZOFBA003.WL,01,,,,,,,,,,,,,,,,,,,
5,0.17302126824640685,OFBA003C1AJ430010020000005,000005,,18.13394546508789,05,,73.0,D1s,101,101,101,106,,,1∶250000 库尔干幅(J43C001002)建造构造图,"LINESTRING (73.99763142704388 39.85270096249802, 73.99851561934061 39.85549229438764, 73.99921946497567 39.860123342198186, 73.99939714427876 39.86079763963595, 73.9997490591066 39.86214692916422, 73.99992528873759 39.86282191896548, 74.00026929534037 39.86417257519046, 74.00043906937182 39.86484823709861, 74.00077315871602 39.86620022628454, 74.00110329922897 39.86755308162393, 74.00126563715583 39.86822983072611, 74.00149610536829 39.868789484686054, 74.00324701475378 39.87692464721946, 74.00463134166205 39.881520402128814, 74.00651955924069 39.88714540139727, 74.0083683121655 39.8910936589378, 74.01185590659975 39.898490686993696, 74.01717549201602 39.91124328067554, 74.01816521810164 39.913974716383194, 74.01997802900937 39.917518851883, 74.02278005236303 39.92277113713283, 74.02499298206874 39.928104304307254, 74.02598446481292 39.930933749488, 74.02636910779275 39.93367707043224, 74.02741681732061 39.93667798049133, 74.02931900389638 39.940839697929825, 74.03121752826964 39.94453013219421, 74.0359136588616 39.95182434563813, 74.0381803779597 39.9548709124174, 74.04190186500762 39.95860647850767, 74.04604941502356 39.96225892075495, 74.04907366931741 39.9649734329478, 74.0518721198027 39.96795352202577, 74.05383162804105 39.97015595943824, 74.05646625119515 39.97391172440014, 74.05915338304324 39.977020793378074, 74.06055497448405 39.97874786326718, 74.06407652638153 39.98284296969718, 74.0676850192619 39.98683284417871, 74.07501767549853 39.993783164964675, 74.07879587215407 39.99764413040243, 74.0797981152058 39.99875945983282, 74.08029825178205 39.999317122517745, 74.08091384318762 40.00000003273159)",18126.81786160844,18.12681786160844,24.140305594721156,24.140305594721156,LDZOFBA003.WL,05,,,,,,,,,,,,,,,,,,,
6,0.17354072923593816,OFBA003C1AJ430010020000006,000006,,18.586641311645508,01,,0.0,"D1s,D2t",101,101,109,106,,,1∶250000 库尔干幅(J43C001002)建造构造图,"LINESTRING (74.08984742213504 40.000000019024114, 74.08927301561747 39.99575036285881, 74.08774726354294 39.992818822198146, 74.08400218058804 39.98563140680709, 74.08149941071532 39.98174102785465, 74.07779152895135 39.976044438278585, 74.07443106608525 39.97142351839441, 74.07334993187034 39.9700825548532, 74.07234538787812 39.968711932029834, 74.07068549843187 39.9668938626438, 74.0669434985743 39.96299083689299, 74.06334702449863 39.95945142795916, 74.06179519655674 39.95829171493837, 74.06109725004502 39.957459502545035, 74.05965762951054 39.955884115377295, 74.05864733069232 39.954517024233155, 74.05697034962829 39.95190196571406, 74.05470249531906 39.94762323176325, 74.05197773498412 39.94272000729153, 74.0512797249062 39.94132334364516, 74.05057757499064 39.93942176605383, 74.04928054196562 39.93618522861274, 74.04807219960037 39.933217097152856, 74.04769457687154 39.932296974296314, 74.04743358220087 39.9309911230918, 74.0469888129525 39.92823107903909, 74.04683896986009 39.92710607110793, 74.04653201398416 39.92542448282789, 74.04610970615887 39.9241558137437, 74.04576530961997 39.923270812839306, 74.04461164447196 39.92132431908153, 74.0434590090558 39.91973166548432, 74.0426903740025 39.9185814272776, 74.0418052243108 39.917165760654086, 74.03965398067673 39.91256470383562, 74.03911918252655 39.911650267402344, 74.03862175193593 39.91061720640169, 74.03828025864746 39.908868420417335, 74.03770491524911 39.90639095958393, 74.03674819770306 39.90331617480057, 74.03640392167276 39.90227131736866, 74.03602068850621 39.900748973924465, 74.0358239902146 39.89842123226921, 74.0356328282914 39.89686931520791, 74.03517572544322 39.89439369747906, 74.03483878962977 39.8909675551078, 74.03456115087337 39.888978663397204, 74.03439927817563 39.887642854415496, 74.0339328638504 39.885416768101535, 74.03330176209688 39.881472132867465, 74.03326095907255 39.88061216259609, 74.0331379709422 39.87933694919336, 74.03301950138672 39.878328607164356, 74.03293526546372 39.87702379666193, 74.0325067574766 39.87465100080972, 74.03180300874934 39.87104606638842, 74.03140563213829 39.86781708228438, 74.03132546332996 39.86418517120676, 74.03074364178309 39.858254087796325, 74.02995784961293 39.85203073202534, 74.02979506841652 39.8484297981462, 74.02963671427719 39.842548123653884)",18579.39539548396,18.57939539548396,197.0099868123835,17.009986812383488,LDZOFBA003.WL,01,,,,,,,,,,,,,,,,,,,
7,0.014496246224728641,OFBA003C1AJ430010020000007,000007,,1.338931679725647,01,,0.0,"D2t,ψ1D",101,101,109,106,,,1∶250000 库尔干幅(J43C001002)建造构造图,"LINESTRING (74.08774726354294 39.992818822198146, 74.09414820770328 39.99645121021011, 74.10033975184038 40.00000000764218)",1338.3391889810587,1.3383391889810587,54.02649582358391,54.02649582358391,LDZOFBA003.WL,01,,,,,,,,,,,,,,,,,,,
8,0.11354021654903136,OFBA003C1AJ430010020000008,000008,,12.025585174560547,01,,0.0,"D2t,D1s,ψ1D",101,101,109,106,,,1∶250000 库尔干幅(J43C001002)建造构造图,"LINESTRING (74.10968151912695 40.00000002544598, 74.10967771990919 39.99999222949574, 74.10906994100804 39.99745045254357, 74.10567939871126 39.99300674181047, 74.10256597711358 39.9896694480335, 74.09967087452121 39.98656742727863, 74.09693756645973 39.98242950701286, 74.09524896622351 39.98015938505225, 74.09095336272114 39.974262773805926, 74.08897592617032 39.971118196700665, 74.08569518925088 39.96648791946029, 74.08472920530083 39.96487175230164, 74.08319175406281 39.96238524948248, 74.08182509376834 39.96011889592443, 74.0809707542027 39.958636927573515, 74.0797192465688 39.95671880661286, 74.07767504271571 39.953928513616795, 74.07574398426576 39.9510076434751, 74.07454762943787 39.94900241595751, 74.07232527509649 39.94420836332839, 74.07044369959387 39.939328233489704, 74.06936357355845 39.93675732258943, 74.06673576283175 39.928128517000644, 74.066051346421 39.92570271699755, 74.06328596276806 39.91514738555689, 74.06238599527208 39.912594949372895, 74.06001173355426 39.90335706459626, 74.0598934790828 39.90147679295954, 74.05990023763184 39.900061457001215)",12020.896021755862,12.020896021755862,201.56314649072496,21.56314649072496,LDZOFBA003.WL,01,,,,,,,,,,,,,,,,,,,
9,0.19657185094284765,OFBA003C1AJ430010020000009,000009,,20.58602523803711,05,,75.0,"D2t,D1s",101,101,101,106,,,1∶250000 库尔干幅(J43C001002)建造构造图,"LINESTRING (74.0230635350499 39.83238731133262, 74.02907907867929 39.841684820953276, 74.02963671427719 39.842548123653884, 74.0331893661589 39.84807049332499, 74.03501774131429 39.85206060359703, 74.03843122678971 39.85829653961625, 74.04391517428917 39.86748595584746, 74.04655420168243 39.872659324914466, 74.04941289018787 39.878204217483976, 74.05076301798552 39.88143444688517, 74.05346522691153 39.885947178048234, 74.05576915497605 39.88960617255996, 74.05688503972176 39.89204791006367, 74.05878573261008 39.89738508559274, 74.05990023763184 39.900061457001215, 74.06036719366716 39.90118615133502, 74.06352968152312 39.90835907016242, 74.06787589363442 39.91680429850555, 74.07088088461293 39.92135357931166, 74.07540766829365 39.927722471754414, 74.07882331572429 39.932002343497146, 74.08152538659873 39.936221469705295, 74.08652907406116 39.943436675423335, 74.09120197430913 39.94979268080471, 74.09650913035894 39.957062243594784, 74.09983536319137 39.96158269851825, 74.1059300196985 39.96898821503646, 74.1096535629534 39.97462367543916, 74.1138436588214 39.97971111934045, 74.1242428119989 40.00000003080791)",20577.979280809126,20.577979280809124,25.52457160258268,25.52457160258268,LDZOFBA003.WL,05,,,,,,,,,,,,,,,,,,,
10,0.14652709122737004,OFBA003C1AJ430010020000010,000010,,15.793346405029297,01,,0.0,"S3-4t,D1s,ψ1D",101,101,109,106,,,1∶250000 库尔干幅(J43C001002)建造构造图,"LINESTRING (74.18214942281 39.86453618376665, 74.1849223735134 39.86872716754995, 74.18737916813647 39.87310485124838, 74.18817329676462 39.875678010964485, 74.18889505796714 39.879441270082424, 74.18948585276787 39.884442268878026, 74.19035506192708 39.88826194471224, 74.19117326421497 39.892447603759706, 74.19305186662089 39.900805292403696, 74.19378783673257 39.905403180875425, 74.19546298959085 39.914125388049584, 74.19646766348095 39.91891401070668, 74.19843826174257 39.93159394138317, 74.19978722721794 39.93942182766754, 74.20019810997805 39.94481276126859, 74.20073798198813 39.94822602347254, 74.20166765681154 39.951992375150034, 74.20219926592068 39.954314554138634, 74.20346257942685 39.95725656723525, 74.2051215622137 39.96071428554181, 74.20871049575541 39.96582772469384, 74.21283979944762 39.971310271958444, 74.21828512930878 39.97819412525525, 74.22199937544256 39.98362959445285, 74.22342391963633 39.985498550857, 74.23014368948515 39.99999279682936, 74.23014768066449 40.00000003256949)",15787.184423539766,15.787184423539765,15.76720371256145,15.76720371256145,LDZOFBA003.WL,01,,,,,,,,,,,,,,,,,,,
11,0.07866376360304367,OFBA003C1AJ430010020000011,000011,,8.185691833496094,01,,0.0,"D2t,D1s",101,101,109,106,,,1∶250000 库尔干幅(J43C001002)建造构造图,"LINESTRING (74.2440549959331 40.0000000086975, 74.23897163849811 39.99614602222744, 74.23864911617099 39.99570734681066, 74.2377937150151 39.99480876377284, 74.2371797054352 39.994306992319046, 74.2363234159021 39.99342926347954, 74.23246810804889 39.988832632416226, 74.23040390566155 39.98611676525595, 74.22794553887475 39.98285716012366, 74.2259630528275 39.98057757813407, 74.22127797534615 39.97518152994588, 74.220718032914 39.974282473283274, 74.22004799716265 39.9732997057813, 74.21913906549354 39.97204502325621, 74.21631381863764 39.96824285330401, 74.21507582451778 39.96642571171367, 74.21140411190098 39.96141653876585, 74.21017225338014 39.95956011693472, 74.20899151443243 39.957267703080774, 74.20853564270124 39.95595485950374, 74.20807766761493 39.95480869776532, 74.20791792270118 39.95414188339356, 74.20767102947127 39.952618658932025, 74.2082279699785 39.94852502144266, 74.20990336550933 39.93454038731238)",8182.509292890723,8.182509292890723,202.36883509552172,22.368835095521717,LDZOFBA003.WL,01,,,,,,,,,,,,,,,,,,,
