图层,原始代号,解析年代/岩性,R,G,B,色标来源
LDZOFBB004.WP,→ChA.,Ch,188,183,129,表2 正式地层单位
LDZOFBB004.WP,→ChSt.,Ch,188,183,129,表2 正式地层单位
LDZOFBB002.WP,→C↓1→w,C1,135,153,153,表2 正式地层单位
LDZOFBB001.WP,→C↓1→y,C1,135,153,153,表2 正式地层单位
LDZOFBB001.WP,→C↓2→ak,C2,176,191,191,表2 正式地层单位
LDZOFBB001.WP,→C↓2→kk,C2,176,191,191,表2 正式地层单位
LDZOFBB001.WP,→D↓1→s,D1,166,115,115,表2 正式地层单位
LDZOFBB001.WP,→D↓2→kz,D2,191,153,153,表2 正式地层单位
LDZOFBB001.WP,→D↓2→t,D2,191,153,153,表2 正式地层单位
LDZOFBB001.WP,→D↓3→kz↑1,D3,222,179,191,表2 正式地层单位
LDZOFBB001.WP,→D↓3→kz↑2,D3,222,179,191,表2 正式地层单位
LDZOFBB001.WP,→D↓3→kz↑3,D3,222,179,191,表2 正式地层单位
LDZOFBB001.WP,→D↓3→q,D3,222,179,191,表2 正式地层单位
LDZOFBB001.WP,→J↓1→k,J1,77,242,255,表2 正式地层单位
LDZOFBB001.WP,→J↓1→sh,J1,77,242,255,表2 正式地层单位
LDZOFBB001.WP,→J↓2→t,J2,140,255,242,表2 正式地层单位
LDZOFBB001.WP,→J↓2→y,J2,140,255,242,表2 正式地层单位
LDZOFBB001.WP,→J↓3→kz,J3,204,255,255,表2 正式地层单位
LDZOFBB001.WP,→K↓1→kz,K1,140,255,51,表2 正式地层单位
LDZOFBB001.WP,→K↓2→Y,K2,204,255,115,表2 正式地层单位
LDZOFBB001.WP,→N↓1→a,N1,255,237,115,表2 正式地层单位
LDZOFBB001.WP,→N↓1→k,N1,255,237,115,表2 正式地层单位
LDZOFBB001.WP,→N↓1→p,N1,255,237,115,表2 正式地层单位
LDZOFBB001.WP,→N↓2→a,N2,255,242,179,表2 正式地层单位
LDZOFBB004.WP,→Pt↓1→K.,Pt1,184,162,96,表2 正式地层单位
LDZOFBB001.WP,→P↓2→q,P2,242,206,48,表2 正式地层单位
LDZOFBB001.WP,→Qh↑al,Qh,255,255,191,表2 正式地层单位
LDZOFBB001.WP,→Qh↑fl,Qh,255,255,191,表2 正式地层单位
LDZOFBB001.WP,→Qh↑gl,Qh,255,255,191,表2 正式地层单位
LDZOFBB001.WP,→Qh↑pal,Qh,255,255,191,表2 正式地层单位
LDZOFBB001.WP,→Qh↑pl,Qh,255,255,191,表2 正式地层单位
LDZOFBB001.WP,→Qh↑vl→-Qh↑ch,Qh,255,255,191,表2 正式地层单位
LDZOFBB001.WP,→Qp↓1→X,Qp,247,247,136,表2 正式地层单位
LDZOFBB001.WP,→Qp↓2↑l,Qp,247,247,136,表2 正式地层单位
LDZOFBB001.WP,→Qp↓2→W,Qp,247,247,136,表2 正式地层单位
LDZOFBB001.WP,→Qp↓3↑gfl,Qp,247,247,136,表2 正式地层单位
LDZOFBB001.WP,→Qp↓3↑gl,Qp,247,247,136,表2 正式地层单位
LDZOFBB001.WP,→Qp↓3↑pal,Qp,247,247,136,表2 正式地层单位
LDZOFBB001.WP,→S↓3-4→t,S3,199,217,77,表2 正式地层单位
LDZOFBB001.WP,→T↓3→t,T3,255,222,255,表2 正式地层单位
LDZOFBB001.WP,→C↓2→P↓1→t,跨时代 CP,153,204,204,表3 跨时代地层
LDZOFBB001.WP,→EK,跨时代 EK,140,255,0,表3 跨时代地层
LDZOFBB003.WP,→βμ,basic 侵入岩 / fallback,51,255,51,表6-13 侵入岩（basic）
LDZOFBB003.WP,→γδT↓1,acid_intermediate 侵入岩 / T1,255,51,191,表6-13 侵入岩（acid_intermediate）
LDZOFBB003.WP,→γοC↓2,acid_intermediate 侵入岩 / C2,242,85,133,表6-13 侵入岩（acid_intermediate）
LDZOFBB003.WP,→γπT↓3,acid_intermediate 侵入岩 / T3,255,102,217,表6-13 侵入岩（acid_intermediate）
LDZOFBB003.WP,→γρ,acid_intermediate 侵入岩 / fallback,242,85,133,表6-13 侵入岩（acid_intermediate）
LDZOFBB003.WP,→δ,neutral 侵入岩 / fallback,77,230,255,表6-13 侵入岩（neutral）
LDZOFBB003.WP,→δT↓1,neutral 侵入岩 / Mz,51,217,255,表6-13 侵入岩（neutral）
LDZOFBB003.WP,→δοC↓2,neutral 侵入岩 / Pz2,25,217,255,表6-13 侵入岩（neutral）
LDZOFBB003.WP,→δοP,neutral 侵入岩 / Pz2,25,217,255,表6-13 侵入岩（neutral）
LDZOFBB003.WP,→ηγP,acid_intermediate 侵入岩 / P2,242,80,114,表6-13 侵入岩（acid_intermediate）
LDZOFBB003.WP,→ηγT↓2,acid_intermediate 侵入岩 / T2,255,77,204,表6-13 侵入岩（acid_intermediate）
LDZOFBB003.WP,→νD,alkaline 侵入岩 / Pz1,255,204,51,表6-13 侵入岩（alkaline）
LDZOFBB003.WP,→οφD↓1,acid_intermediate 侵入岩 / D1,242,48,73,表6-13 侵入岩（acid_intermediate）
LDZOFBB003.WP,→τα,neutral 侵入岩 / fallback,77,230,255,表6-13 侵入岩（neutral）
LDZOFBB003.WP,→υ,basic 侵入岩 / fallback,51,255,51,表6-13 侵入岩（basic）
LDZOFBB009.WP,-,special_unit（非地层单位）,220,220,200,DZ/T 0179 无对应面色，脚本 fallback
LDZOFBB010.WP,-,special_unit（非地层单位）,220,220,200,DZ/T 0179 无对应面色，脚本 fallback
