layer,code,key,R,G,B,HEX,count
LDZOFBB004,→ChA.,Ch,188,183,129,#bcb781,7
LDZOFBB004,→ChSt.,Ch,188,183,129,#bcb781,40
LDZOFBB004,→Pt↓1→K.,Pt1,184,162,96,#b8a260,2
LDZOFBB001,→C↓1→y,C1,135,153,153,#879999,2
LDZOFBB001,→C↓2→P↓1→t,CP,153,204,204,#99cccc,2
LDZOFBB001,→C↓2→ak,C2,176,191,191,#b0bfbf,5
LDZOFBB001,→C↓2→kk,C2,176,191,191,#b0bfbf,6
LDZOFBB001,→D↓1→s,D1,166,115,115,#a67373,10
LDZOFBB001,→D↓2→kz,D2,191,153,153,#bf9999,40
LDZOFBB001,→D↓2→t,D2,191,153,153,#bf9999,15
LDZOFBB001,→D↓3→kz↑1,D3,222,179,191,#deb3bf,2
LDZOFBB001,→D↓3→kz↑2,D3,222,179,191,#deb3bf,7
LDZOFBB001,→D↓3→kz↑3,D3,222,179,191,#deb3bf,9
LDZOFBB001,→D↓3→q,D3,222,179,191,#deb3bf,7
LDZOFBB001,→EK,EK,140,255,0,#8cff00,64
LDZOFBB001,→J↓1→k,J1,77,242,255,#4df2ff,14
LDZOFBB001,→J↓1→sh,J1,77,242,255,#4df2ff,13
LDZOFBB001,→J↓2→t,J2,140,255,242,#8cfff2,1
LDZOFBB001,→J↓2→y,J2,140,255,242,#8cfff2,6
LDZOFBB001,→J↓3→kz,J3,204,255,255,#ccffff,8
LDZOFBB001,→K↓1→kz,K1,140,255,51,#8cff33,36
LDZOFBB001,→K↓2→Y,K2,204,255,115,#ccff73,34
LDZOFBB001,→N↓1→a,N1,255,237,115,#ffed73,33
LDZOFBB001,→N↓1→k,N1,255,237,115,#ffed73,47
LDZOFBB001,→N↓1→p,N1,255,237,115,#ffed73,30
LDZOFBB001,→N↓2→a,N2,255,242,179,#fff2b3,18
LDZOFBB001,→P↓2→q,P2,242,206,48,#f2ce30,46
LDZOFBB001,→Qh↑al,Qh,255,255,191,#ffffbf,4
LDZOFBB001,→Qh↑fl,Qh,255,255,191,#ffffbf,1
LDZOFBB001,→Qh↑gl,Qh,255,255,191,#ffffbf,4
LDZOFBB001,→Qh↑pal,Qh,255,255,191,#ffffbf,10
LDZOFBB001,→Qh↑pl,Qh,255,255,191,#ffffbf,9
LDZOFBB001,→Qh↑vl→-Qh↑ch,Qh,255,255,191,#ffffbf,6
LDZOFBB001,→Qp↓1→X,Qp,247,247,136,#f7f788,25
LDZOFBB001,→Qp↓2↑l,Qp,247,247,136,#f7f788,7
LDZOFBB001,→Qp↓2→W,Qp,247,247,136,#f7f788,6
LDZOFBB001,→Qp↓3↑gfl,Qp,247,247,136,#f7f788,6
LDZOFBB001,→Qp↓3↑gl,Qp,247,247,136,#f7f788,6
LDZOFBB001,→Qp↓3↑pal,Qp,247,247,136,#f7f788,57
LDZOFBB001,→S↓3-4→t,S3,199,217,77,#c7d94d,7
LDZOFBB001,→T↓3→t,T3,255,222,255,#ffdeff,5
LDZOFBB002,→C↓1→w,C1,135,153,153,#879999,10
LDZOFBB003,→βμ,basic:fallback,51,255,51,#33ff33,1
LDZOFBB003,→γδT↓1,acid_intermediate:T1,255,51,191,#ff33bf,5
LDZOFBB003,→γοC↓2,acid_intermediate:C2,242,85,133,#f25585,7
LDZOFBB003,→γπT↓3,acid_intermediate:T3,255,102,217,#ff66d9,3
LDZOFBB003,→γρ,acid_intermediate:fallback,242,85,133,#f25585,1
LDZOFBB003,→δ,neutral:fallback,77,230,255,#4de6ff,2
LDZOFBB003,→δT↓1,neutral:Mz,51,217,255,#33d9ff,1
LDZOFBB003,→δοC↓2,neutral:Pz2,25,217,255,#19d9ff,1
LDZOFBB003,→δοP,neutral:Pz2,25,217,255,#19d9ff,10
LDZOFBB003,→ηγP,acid_intermediate:P2,242,80,114,#f25072,3
LDZOFBB003,→ηγT↓2,acid_intermediate:T2,255,77,204,#ff4dcc,4
LDZOFBB003,→νD,alkaline:Pz1,255,204,51,#ffcc33,1
LDZOFBB003,→οφD↓1,acid_intermediate:D1,242,48,73,#f23049,2
LDZOFBB003,→τα,neutral:fallback,77,230,255,#4de6ff,2
LDZOFBB003,→υ,basic:fallback,51,255,51,#33ff33,3
